date,time,hour,system,treatment,assay,distance,length
6/13/22,1730,24.5,9,tc,a,4,3
6/13/22,1730,24.5,9,tc,a,5,3
6/13/22,1730,24.5,9,tc,b,1,0
6/13/22,1730,24.5,9,tc,b,2,0
6/13/22,1730,24.5,9,tc,b,3,0
6/13/22,1730,24.5,9,tc,b,4,0
6/13/22,1730,24.5,9,tc,b,5,0
6/13/22,1730,24.5,9,tc,c,1,0
6/13/22,1730,24.5,9,tc,c,2,0
6/13/22,1730,24.5,9,tc,c,3,0
6/13/22,1730,24.5,9,tc,c,4,0
6/13/22,1730,24.5,9,tc,c,5,0
6/13/22,1730,24.5,9,tc,d,1,0
6/13/22,1730,24.5,9,tc,d,2,0
6/13/22,1730,24.5,9,tc,d,3,0
6/13/22,1730,24.5,9,tc,d,4,0
6/13/22,1730,24.5,9,tc,d,5,0
6/14/22,900,40,1,fc,a,1,3
6/14/22,900,40,1,fc,a,2,3
6/14/22,900,40,1,fc,a,3,3
6/14/22,900,40,1,fc,a,4,3
6/14/22,900,40,1,fc,a,5,3
6/14/22,900,40,1,fc,b,1,3
6/14/22,900,40,1,fc,b,2,3
6/14/22,900,40,1,fc,b,3,3
6/14/22,900,40,1,fc,b,4,3
6/14/22,900,40,1,fc,b,5,3
6/14/22,900,40,1,fc,c,1,3
6/14/22,900,40,1,fc,c,2,3
6/14/22,900,40,1,fc,c,3,3
6/14/22,900,40,1,fc,c,4,3
6/14/22,900,40,1,fc,c,5,3
6/14/22,900,40,1,fc,d,1,3
6/14/22,900,40,1,fc,d,2,3
6/14/22,900,40,1,fc,d,3,0
6/14/22,900,40,1,fc,d,4,3
6/14/22,900,40,1,fc,d,5,3
6/14/22,900,40,2,th,a,1,3
6/14/22,900,40,2,th,a,2,3
6/14/22,900,40,2,th,a,3,3
6/14/22,900,40,2,th,a,4,2.1
6/14/22,900,40,2,th,a,5,3
6/14/22,900,40,2,th,b,1,3
6/14/22,900,40,2,th,b,2,2.9
6/14/22,900,40,2,th,b,3,3
6/14/22,900,40,2,th,b,4,1.2
6/14/22,900,40,2,th,b,5,3
6/14/22,900,40,2,th,c,1,3
6/14/22,900,40,2,th,c,2,2.5
6/14/22,900,40,2,th,c,3,3
6/14/22,900,40,2,th,c,4,2.8
6/14/22,900,40,2,th,c,5,3
6/14/22,900,40,2,th,d,1,3
6/14/22,900,40,2,th,d,2,2.1
6/14/22,900,40,2,th,d,3,3
6/14/22,900,40,2,th,d,4,2.2
6/14/22,900,40,2,th,d,5,3
6/14/22,900,40,3,tw,a,1,0
6/14/22,900,40,3,tw,a,2,0
6/14/22,900,40,3,tw,a,3,1.7
6/14/22,900,40,3,tw,a,4,2.1
6/14/22,900,40,3,tw,a,5,0
6/14/22,900,40,3,tw,b,1,0
6/14/22,900,40,3,tw,b,2,2.4
6/14/22,900,40,3,tw,b,3,0
6/14/22,900,40,3,tw,b,4,3
6/14/22,900,40,3,tw,b,5,0
6/14/22,900,40,3,tw,c,1,0
6/14/22,900,40,3,tw,c,2,2.2
6/14/22,900,40,3,tw,c,3,0
6/14/22,900,40,3,tw,c,4,0
6/14/22,900,40,3,tw,c,5,0
6/14/22,900,40,3,tw,d,1,0
6/14/22,900,40,3,tw,d,2,0
6/14/22,900,40,3,tw,d,3,0.9
6/14/22,900,40,3,tw,d,4,2.8
6/14/22,900,40,3,tw,d,5,0
6/14/22,900,40,4,on,a,1,0
6/14/22,900,40,4,on,a,2,0
6/14/22,900,40,4,on,a,3,2
6/14/22,900,40,4,on,a,4,2.3
6/14/22,900,40,4,on,a,5,3
6/14/22,900,40,4,on,b,1,0.2
6/14/22,900,40,4,on,b,2,2.1
6/14/22,900,40,4,on,b,3,0.4
6/14/22,900,40,4,on,b,4,0
6/14/22,900,40,4,on,b,5,3
6/14/22,900,40,4,on,c,1,0
6/14/22,900,40,4,on,c,2,1.8
6/14/22,900,40,4,on,c,3,3
6/14/22,900,40,4,on,c,4,1.9
6/14/22,900,40,4,on,c,5,0
6/14/22,900,40,4,on,d,1,0
6/14/22,900,40,4,on,d,2,0
6/14/22,900,40,4,on,d,3,3
6/14/22,900,40,4,on,d,4,0
6/14/22,900,40,4,on,d,5,0.3
6/14/22,900,40,5,on,a,1,0
6/14/22,900,40,5,on,a,2,3
6/14/22,900,40,5,on,a,3,3
6/14/22,900,40,5,on,a,4,0
6/14/22,900,40,5,on,a,5,3
6/14/22,900,40,5,on,b,1,1
